cluster,latitude,longitude,Cluster_Label
-1,41.983398661,-87.814273319,
-1,41.732682136,-87.676340265,
-1,41.961715266,-87.844591622,
-1,41.974859364,-87.907825797,
-1,41.712733931,-87.690457466,
-1,41.827692002,-87.727713067,
-1,41.821130845,-87.647712404,
-1,41.991818007,-87.884615435,
-1,41.973893155,-87.888220178,
-1,41.662601236,-87.549541874,
-1,41.829694644,-87.704603841,
-1,41.755643067,-87.543708692,
-1,41.86449634,-87.668835922,
-1,41.716827275,-87.669018706,
-1,41.955323288,-87.791836088,
-1,42.006074109,-87.927364891,
-1,41.86886082,-87.740743803,
-1,41.694863412,-87.719675104,
-1,41.986329371,-87.836579869,
-1,41.820671065,-87.648843597,
-1,41.846423071,-87.737959723,
-1,41.759620551,-87.732542878,
-1,41.981731855,-87.905139282,
-1,41.755020211,-87.7281915,
-1,41.707149892,-87.594266069,
-1,41.86886082,-87.740743803,
-1,42.011431635,-87.774169155,
-1,41.907910867,-87.653933606,
-1,41.874398165,-87.650224005,
-1,41.966844891,-87.877443913,
-1,41.83669981,-87.674565575,
-1,41.713378177,-87.670533906,
-1,41.863365682,-87.635065878,
-1,41.815930149,-87.659253703,
-1,41.862306916,-87.670345376,
-1,41.732750761,-87.676343229,
-1,41.715162323,-87.660205116,
-1,41.871012686,-87.671470711,
-1,41.987908909,-87.917033962,
-1,42.012329254,-87.815160472,
-1,41.819340116,-87.650692079,
-1,41.911505207,-87.802195929,
-1,41.702768167,-87.55735961,
-1,41.667329792,-87.59557079,
-1,41.890174212,-87.72945171,
-1,41.960148899,-87.789784083,
-1,41.997196282,-87.727421925,
-1,41.983547454,-87.813194444,
-1,41.846384141,-87.652419575,
-1,41.820870016,-87.728287304,
-1,42.006872617,-87.762828757,
-1,41.992475681,-87.81713874,
-1,41.844047316,-87.680527407,
-1,41.964354319,-87.749254279,
-1,41.911425826,-87.804022513,
-1,41.952226712,-87.839682811,
-1,41.960718285,-87.882620302,
-1,42.00318311,-87.809171417,
-1,41.713361953,-87.556246971,
-1,41.960988667,-87.908921844,
-1,41.70276751,-87.555638491,
-1,41.917242681,-87.663049575,
-1,41.981119214,-87.752606124,
-1,41.760292317,-87.73243032,
-1,41.710886806,-87.721075609,
-1,42.008849028,-87.907073187,
-1,41.959367535,-87.795768953,
-1,41.681027739,-87.610840719,
-1,41.697392806,-87.718482983,
-1,41.651877608,-87.599190344,
-1,41.993556242,-87.810927862,
-1,41.707990548,-87.572121676,
-1,41.889931977,-87.738246337,
-1,41.78357392,-87.584618631,
-1,42.004641996,-87.766233598,
-1,41.734160548,-87.682472998,
-1,41.790806889,-87.614105019,
-1,41.817884267,-87.73142633,
-1,41.880898957,-87.619048127,
-1,41.681332216,-87.602139345,
-1,41.829929212,-87.724198877,
-1,42.017444202,-87.81511159,
-1,41.893327862,-87.602514088,
-1,41.717473194,-87.589459406,
-1,41.733472402,-87.674885039,
-1,41.735517525,-87.683184739,
-1,41.995403819,-87.744195484,
-1,41.702765782,-87.554572878,
-1,41.931156602,-87.631927212,
-1,41.666070243,-87.549565678,
-1,41.701620786,-87.718288907,
-1,41.805269084,-87.596755942,
-1,41.985000379,-87.796182334,
-1,41.785502985,-87.585014189,
-1,41.962021357,-87.843651698,
-1,41.973893155,-87.888220178,
-1,41.689251935,-87.674684471,
-1,41.715237534,-87.665570172,
-1,41.931726484,-87.731889722,
-1,41.972536705,-87.792782502,
-1,41.659181124,-87.567353885,
-1,41.94345324,-87.693930558,
-1,41.971307932,-87.807094046,
-1,41.726756375,-87.540098793,
-1,42.006074109,-87.927364891,
-1,41.834486637,-87.736591556,
-1,41.992473826,-87.820397954,
-1,41.675914197,-87.64789048,
-1,41.960024938,-87.79434055,
-1,41.735474297,-87.685735208,
-1,41.828617041,-87.711827934,
-1,41.676787248,-87.540020864,
-1,41.990588172,-87.766071442,
-1,41.982438485,-87.826002828,
