Date,coordinates
2/10/12,"(41.879955866, -87.680040875)"
3/8/12,"(41.783455232, -87.613274211)"
3/7/12,"(41.847697878, -87.69136154)"
3/3/12,"(41.88705768, -87.647514742)"
3/6/12,"(41.851589468, -87.721570909)"
1/3/12,"(41.927084741, -87.761177303)"
4/9/12,"(41.721719596, -87.55520854)"
3/11/12,"(41.869347731, -87.745780249)"
2/3/12,"(41.869822522, -87.724191109)"
2/5/12,"(41.920883829, -87.759737207)"
1/8/12,"(41.885740288, -87.631590568)"
1/6/12,"(41.999555588, -87.811044348)"
2/1/12,"(41.69143751, -87.621034563)"
3/1/12,"(41.832571089, -87.704685773)"
4/8/12,"(41.764682272, -87.641532544)"
1/6/12,"(41.658325126, -87.63820014)"
3/1/12,"(41.739005004, -87.637638525)"
4/3/12,"(41.754764657, -87.561443041)"
3/4/12,"(41.778909473, -87.650838732)"
4/5/12,"(41.723590485, -87.537075339)"
1/4/12,"(41.763679876, -87.685660592)"
3/2/12,"(41.724763523, -87.627535142)"
2/12/12,"(41.65470253, -87.607556248)"
3/8/12,"(41.724438441, -87.620662857)"
2/6/12,"(41.685351894, -87.619919191)"
1/8/12,"(41.845362, -87.720918238)"
1/6/12,"(41.95025167, -87.78254166)"
3/7/12,"(41.704129016, -87.64886529)"
3/8/12,"(41.953900467, -87.907472601)"
2/3/12,"(41.914066835, -87.712708047)"
1/9/12,"(41.749380641, -87.609554416)"
3/11/12,"(41.88331875, -87.729387738)"
4/4/12,"(41.873920047, -87.684181646)"
1/3/12,"(41.744473697, -87.733926322)"
2/3/12,"(41.803085105, -87.619432573)"
3/9/12,"(41.782423623, -87.667927739)"
2/5/12,"(41.897895128, -87.624096605)"
1/12/12,"(41.880850663, -87.747738626)"
4/7/12,"(41.896822662, -87.746758952)"
2/12/12,"(41.792607382, -87.598103729)"
3/7/12,"(41.946050483, -87.653076678)"
3/1/12,"(41.762821678, -87.561408794)"
2/3/12,"(41.779924998, -87.700727257)"
1/4/12,"(41.920506206, -87.665514018)"
4/7/12,"(41.848850157, -87.735540507)"
4/7/12,"(41.93515768, -87.721158827)"
3/12/12,"(41.874064094, -87.745582842)"
2/3/12,"(41.92439805, -87.794045223)"
2/3/12,"(41.732768803, -87.564677691)"
2/1/12,"(41.789846121, -87.652336186)"
1/4/12,"(41.771170158, -87.659135991)"
2/7/12,"(41.755259245, -87.649014981)"
3/5/12,"(41.768229151, -87.689918373)"
4/2/12,"(41.874411076, -87.63910577)"
1/3/12,"(41.760646744, -87.652784285)"
3/7/12,"(41.938713675, -87.642709031)"
3/12/12,"(41.70126752, -87.628125371)"
4/5/12,"(41.726324111, -87.6372808)"
2/9/12,"(41.742124324, -87.604286161)"
3/2/12,"(41.873510659, -87.720554136)"
3/3/12,"(41.754676733, -87.562653519)"
4/8/12,"(41.751587134, -87.577598669)"
2/8/12,"(41.771676658, -87.572388286)"
1/11/12,"(41.740481863, -87.556341456)"
3/8/12,"(41.782592591, -87.669146944)"
2/12/12,"(41.970189796, -87.716447565)"
3/11/12,"(41.923814571, -87.776441429)"
3/10/12,"(41.810835922, -87.631616404)"
2/10/12,"(41.884013483, -87.627896757)"
4/4/12,"(41.823821752, -87.617815429)"
4/2/12,"(41.96938944, -87.700488807)"
1/12/12,"(41.857892731, -87.660193435)"
4/5/12,"(41.909262367, -87.652769388)"
1/10/12,"(41.765997125, -87.66382344)"
1/2/12,"(42.006589412, -87.671711929)"
1/5/12,"(41.876670128, -87.754026367)"
1/7/12,"(41.91709875, -87.802366329)"
3/11/12,"(41.855959485, -87.71512387)"
3/12/12,"(41.777838294, -87.615566126)"
2/4/12,"(41.910094713, -87.661768725)"
4/1/12,"(41.865147498, -87.625780301)"
3/8/12,"(41.913215448, -87.708535293)"
4/2/12,"(41.893646656, -87.631177143)"
4/2/12,"(41.768788957, -87.625513163)"
4/5/12,"(41.731353901, -87.659285061)"
1/10/12,"(41.744849539, -87.602577051)"
1/5/12,"(41.809066689, -87.59925438)"
4/3/12,"(41.834223635, -87.72672312)"
3/5/12,"(41.992693916, -87.703116242)"
1/5/12,"(41.693879672, -87.612187129)"
3/2/12,"(41.749542415, -87.715273773)"
4/6/12,"(41.964703407, -87.718872126)"
2/3/12,"(41.721205526, -87.628654671)"
1/6/12,"(41.782425451, -87.650929776)"
2/3/12,"(41.688163086, -87.656843793)"
3/7/12,"(41.966226935, -87.686977587)"
1/11/12,"(41.96227234, -87.667732708)"
3/3/12,"(41.884089306, -87.635365414)"
1/8/12,"(41.836384555, -87.727987073)"
3/9/12,"(41.684160442, -87.66269195)"
3/1/12,"(42.020537666, -87.666422486)"
4/9/12,"(41.738821768, -87.640923472)"
1/1/12,"(41.771177146, -87.637298335)"
2/1/12,"(41.695244583, -87.62916148)"
1/1/12,"(41.796088115, -87.687765815)"
4/8/12,"(41.764296485, -87.562802322)"
3/5/12,"(41.881181355, -87.685158391)"
3/3/12,"(41.967631956, -87.76200601)"
3/5/12,"(41.854313474, -87.713697168)"
4/2/12,"(41.900438815, -87.753635264)"
1/1/12,"(41.957832545, -87.729335433)"
2/2/12,"(41.75762332, -87.610235141)"
1/12/12,"(41.933924777, -87.774842987)"
3/8/12,"(41.70728151, -87.615901033)"
4/6/12,"(41.779215566, -87.686673851)"
2/4/12,"(41.958184528, -87.732611614)"
3/8/12,"(41.786945223, -87.615787227)"
2/1/12,"(41.758625799, -87.601262593)"
3/6/12,"(41.802111489, -87.606401292)"
2/2/12,"(41.816598406, -87.619069744)"
2/8/12,"(41.71196086, -87.640545242)"
3/9/12,"(41.98287878, -87.791440835)"
4/9/12,"(41.921199457, -87.759745403)"
3/8/12,"(41.880748488, -87.723881711)"
1/1/12,"(41.887482516, -87.645134084)"
2/7/12,"(41.875475201, -87.754881679)"
2/7/12,"(41.799675992, -87.650460721)"
3/2/12,"(41.885358666, -87.736918975)"
3/3/12,"(41.882526427, -87.624384106)"
1/9/12,"(41.912433229, -87.669393362)"
3/3/12,"(41.904818527, -87.723935708)"
2/5/12,"(41.820818801, -87.702944371)"
3/11/12,"(41.924086617, -87.715363238)"
1/5/12,"(41.904522401, -87.773016431)"
3/4/12,"(41.691363568, -87.649062878)"
3/4/12,"(41.740270316, -87.561191614)"
2/9/12,"(41.726302526, -87.628785805)"
4/4/12,"(41.891978054, -87.76345198)"
2/5/12,"(41.771524452, -87.582203652)"
3/2/12,"(41.891404732, -87.628061509)"
3/3/12,"(41.750677723, -87.593034044)"
4/1/12,"(41.914301481, -87.728915703)"
4/6/12,"(41.769185486, -87.625732415)"
3/11/12,"(41.944883765, -87.747031722)"
4/3/12,"(41.833595307, -87.641304672)"
3/5/12,"(41.762365054, -87.683177697)"
1/8/12,"(41.856710483, -87.679282732)"
3/9/12,"(41.875037344, -87.743789427)"
1/3/12,"(41.802608958, -87.652659518)"
1/9/12,"(41.753339004, -87.665941353)"
1/9/12,"(41.735225501, -87.644373119)"
3/12/12,"(41.931502412, -87.668368757)"
1/11/12,"(41.771983943, -87.68271398)"
3/10/12,"(41.707359902, -87.541340728)"
1/9/12,"(41.777835813, -87.600395232)"
4/9/12,"(41.869292076, -87.691788034)"
1/3/12,"(41.942681245, -87.65133714)"
3/7/12,"(41.906615694, -87.733782272)"
2/7/12,"(41.755273181, -87.64171789)"
4/3/12,"(41.978567689, -87.697308633)"
1/5/12,"(41.912258647, -87.756985503)"
4/4/12,"(41.946221444, -87.708253555)"
3/3/12,"(41.735834968, -87.580545911)"
1/5/12,"(41.917698324, -87.738804128)"
2/1/12,"(41.76948433, -87.656660917)"
1/6/12,"(41.820248497, -87.616020877)"
4/4/12,"(41.899921712, -87.720121704)"
1/9/12,"(41.748644326, -87.606378164)"
3/9/12,"(41.939610126, -87.737053245)"
3/1/12,"(41.847474633, -87.723412196)"
2/9/12,"(41.851430749, -87.724754706)"
4/4/12,"(41.894882947, -87.761541936)"
3/4/12,"(41.876862373, -87.743809373)"
4/9/12,"(41.759500771, -87.61994884)"
4/4/12,"(41.764584136, -87.643010792)"
1/5/12,"(41.769897097, -87.661528424)"
1/4/12,"(41.737256346, -87.648513649)"
4/3/12,"(41.929104501, -87.697531954)"
4/9/12,"(41.905266156, -87.765765707)"
2/3/12,"(41.802188005, -87.604185177)"
4/4/12,"(41.877565688, -87.684893829)"
2/11/12,"(41.904012945, -87.706825025)"
1/2/12,"(41.872904542, -87.758301167)"
3/12/12,"(41.899456567, -87.767984346)"
2/4/12,"(41.883612322, -87.706837078)"
3/12/12,"(41.768788957, -87.625513163)"
2/5/12,"(41.910342683, -87.727568018)"
3/8/12,"(41.749317455, -87.577159884)"
2/9/12,"(41.793074305, -87.692563315)"
2/2/12,"(41.65291016, -87.536255925)"
3/11/12,"(41.814736354, -87.622377275)"
2/10/12,"(41.914463402, -87.72891785)"
3/4/12,"(41.755144867, -87.58405489)"
1/4/12,"(41.995462301, -87.666121505)"
4/1/12,"(41.862951657, -87.7064808)"
2/10/12,"(41.684779669, -87.64214387)"
2/3/12,"(41.987207036, -87.743152879)"
2/12/12,"(41.787609455, -87.648630717)"
1/7/12,"(41.762445101, -87.64555183)"
2/2/12,"(41.779183752, -87.688826305)"
3/1/12,"(41.880717825, -87.726382723)"
2/1/12,"(41.792210513, -87.624023407)"
1/1/12,"(42.004834752, -87.700718975)"
1/1/12,"(41.78074797, -87.769160257)"
1/2/12,"(41.926523588, -87.634050522)"
1/2/12,"(41.809125265, -87.631906508)"
3/7/12,"(41.814539325, -87.606678967)"
2/3/12,"(41.714930554, -87.562187228)"
4/9/12,"(41.753518816, -87.658668397)"
3/8/12,"(41.956134897, -87.667965692)"
1/11/12,"(41.936944613, -87.669863221)"
3/9/12,"(41.910102898, -87.707922729)"
3/8/12,"(41.947280223, -87.652207109)"
1/1/12,"(41.858195058, -87.704827656)"
2/7/12,"(41.773959279, -87.668238861)"
3/5/12,"(41.76680404, -87.605619683)"
4/9/12,"(41.854644023, -87.705335936)"
3/4/12,"(41.900209759, -87.695420043)"
4/8/12,"(41.919002999, -87.786525206)"
2/9/12,"(41.866859553, -87.667012497)"
4/7/12,"(41.917907039, -87.727805123)"
1/6/12,"(41.881946503, -87.734079045)"
3/11/12,"(41.996897899, -87.685350306)"
2/3/12,"(41.909529826, -87.70700253)"
1/12/12,"(41.764727452, -87.564457634)"
1/1/12,"(41.779359134, -87.600432881)"
3/9/12,"(41.894945606, -87.754874977)"
2/2/12,"(41.968596475, -87.774536564)"
4/1/12,"(41.722293683, -87.552454304)"
4/4/12,"(41.751928332, -87.644077264)"
2/12/12,"(41.763692026, -87.597008079)"
4/7/12,"(41.852541515, -87.653220514)"
1/8/12,"(41.919361313, -87.756010356)"
2/5/12,"(41.91009577, -87.756902092)"
2/7/12,"(41.779040428, -87.698572821)"
3/2/12,"(41.894862353, -87.764025029)"
2/2/12,"(41.760941958, -87.640649068)"
2/7/12,"(41.881058221, -87.697990118)"
3/6/12,"(41.869447309, -87.744861466)"
3/11/12,"(41.885906592, -87.701342749)"
2/3/12,"(41.686423485, -87.608287179)"
1/12/12,"(41.883219258, -87.626818503)"
2/12/12,"(41.697088837, -87.659848026)"
1/8/12,"(41.933542629, -87.791884378)"
2/5/12,"(41.865180867, -87.711690542)"
3/1/12,"(41.904850889, -87.770603732)"
2/8/12,"(41.691474365, -87.642354129)"
4/3/12,"(41.873935958, -87.755483038)"
1/1/12,"(41.983449123, -87.671491808)"
2/6/12,"(41.746886822, -87.702312284)"
3/8/12,"(41.883319271, -87.729486885)"
4/9/12,"(41.87134645, -87.627514689)"
3/1/12,"(41.79847008, -87.708598576)"
1/10/12,"(41.880386156, -87.754088279)"
2/6/12,"(41.716215734, -87.603062669)"
1/1/12,"(41.959117073, -87.728337966)"
4/6/12,"(41.837983285, -87.650919666)"
3/10/12,"(41.876488439, -87.624278264)"
3/12/12,"(41.923764455, -87.779697562)"
2/7/12,"(41.766264384, -87.57355192)"
3/11/12,"(41.716890359, -87.640660792)"
3/8/12,"(42.00711743, -87.670006581)"
3/7/12,"(41.801042303, -87.690837197)"
1/8/12,"(41.793233301, -87.794049652)"
4/5/12,"(41.981356017, -87.8080301)"
1/10/12,"(41.844685324, -87.69541772)"
1/11/12,"(41.909494897, -87.756378474)"
1/11/12,"(41.959272341, -87.71626242)"
1/9/12,"(41.911754839, -87.778952681)"
1/6/12,"(41.880717961, -87.726408427)"
4/7/12,"(41.695799448, -87.620785048)"
3/1/12,"(41.933323018, -87.679566382)"
4/7/12,"(41.744177896, -87.662067759)"
3/9/12,"(41.779201903, -87.68766023)"
