cluster,latitude,longitude,Cluster_Label
151,41.787214507,-87.632826294,151.0
152,41.732900568,-87.564683447,152.0
153,41.727018673,-87.637321697,153.0
154,41.675256442,-87.601695694,154.0
155,41.96938944,-87.69747991400001,155.0
156,41.909798633,-87.650233466,156.0
157,41.767330484,-87.58125841750001,157.0
158,41.726189992,-87.64577227550001,158.0
159,42.015044609,-87.663260015,159.0
160,41.864889488,-87.625728324,160.0
161,41.923672617,-87.786301606,161.0
162,41.797475986,-87.641630098,162.0
163,41.809621907,-87.598606126,163.0
164,41.863276227,-87.642053002,164.0
165,41.684160442,-87.66269195,165.0
166,41.933885924,-87.774842819,166.0
167,41.957701474,-87.732597768,167.0
168,41.711905955,-87.64054217,168.0
169,41.79118855,-87.694950605,169.0
170,41.880081938,-87.672339218,170.0
171,41.776051988,-87.597274514,171.0
172,41.740270316,-87.5611914985,172.0
173,41.750957692,-87.593041821,173.0
174,41.899327779,-87.647939877,174.0
175,41.9143193175,-87.728915535,175.0
176,41.990615196,-87.683188577,176.0
177,41.8117246455,-87.638936386,177.0
178,41.833642389,-87.6413015495,178.0
179,41.797423918999996,-87.633073818,179.0
180,41.7188444205,-87.537702456,180.0
181,41.738311507,-87.585553379,181.0
182,41.782187085,-87.716401455,182.0
183,41.937189961,-87.800211776,183.0
184,41.652575638,-87.610712334,184.0
185,41.9549289735,-87.688646522,185.0
186,41.700297668,-87.669378462,186.0
187,41.652919193,-87.545925802,187.0
188,41.734962700500006,-87.544405137,188.0
189,41.763944134,-87.696618243,189.0
190,41.749040254,-87.577155389,190.0
191,41.877284651,-87.6582052945,191.0
192,42.010350467,-87.695937768,192.0
193,41.866216769,-87.621622648,193.0
194,41.736596939,-87.570487938,194.0
195,41.965860757,-87.701053221,195.0
196,41.926231713,-87.6339424,196.0
197,41.76680404,-87.605619683,197.0
198,41.918503813,-87.786519685,198.0
199,41.866331725,-87.666379171,199.0
200,41.727047541,-87.594902393,200.0
201,41.993210828,-87.783989913,201.0
202,41.885446274,-87.7020713055,202.0
203,41.686509937,-87.6082878075,203.0
204,41.843922218,-87.626847966,204.0
205,41.7457119,-87.684023463,205.0
206,41.694829206,-87.681256268,206.0
207,41.9327518365,-87.791828874,207.0
208,41.743628448500004,-87.624374813,208.0
209,41.715674399,-87.603065244,209.0
210,41.868180939,-87.709271389,210.0
211,41.75285744,-87.718541892,211.0
212,41.735857166,-87.624152861,212.0
213,41.7171497355,-87.64066697199999,213.0
214,41.725732924,-87.5566758815,214.0
215,41.689877402,-87.6362583655,215.0
216,41.71902307,-87.620528559,216.0
217,41.930877923,-87.7943287855,217.0
218,41.922450893,-87.632206293,218.0
219,41.8094338665,-87.697909548,219.0
220,41.862218265,-87.639087164,220.0
221,41.798513045,-87.689050751,221.0
222,41.789264697,-87.690013161,222.0
223,41.754805333,-87.670833516,223.0
224,41.801460197,-87.62261773700001,224.0
225,41.6474468,-87.616353722,225.0
226,41.772917569,-87.56832174,226.0
227,41.6530627,-87.615331145,227.0
228,41.979006297,-87.906463155,228.0
229,41.941941599,-87.688124523,229.0
230,41.94587698,-87.807027545,230.0
231,41.842814992499996,-87.660887958,231.0
232,41.705863852,-87.5377038,232.0
233,41.66108023,-87.6427802,233.0
234,41.740296663,-87.705598837,234.0
235,41.941157702,-87.642987732,235.0
236,41.887475918,-87.70983099099999,236.0
237,41.74575751,-87.671813332,237.0
238,41.950332981,-87.777110584,238.0
239,41.812431209,-87.604430616,239.0
240,41.733226633,-87.544364336,240.0
241,41.706326697,-87.657044306,241.0
242,41.863196881,-87.614817819,242.0
243,41.870086443,-87.666482703,243.0
244,41.747435034999995,-87.67945041499999,244.0
245,41.686460463,-87.633734743,245.0
246,41.934981656,-87.804938864,246.0
247,41.94207326,-87.779720602,247.0
248,41.972617611,-87.66342174,248.0
249,41.811606934,-87.675174895,249.0
250,41.946488939,-87.717646168,250.0
251,41.720303777,-87.561145831,251.0
252,42.0093789775,-87.6825096105,252.0
253,41.659135983,-87.609072738,253.0
254,41.711052213,-87.564552989,254.0
255,41.732525519,-87.583932474,255.0
